pl_name,sy_snum,pl_orbper,pl_rade,pl_tranmid,ttv_flag,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,ra,dec,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_kmag,sy_umag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_kepmag,target
K2-113 b,1.0,5.817608,10.42437,2457392.88605,0.0,0.5351,2.7504,5627.0,1.047,1.007,19.449375,6.868847222222223,20.2673,-12.7021,635.722,1.54414,14.44,11.949,15.9897,11.894,11.956,11.98,9.114,13.5039,13.514,1
K2-113 b,1.0,5.817685,12.14,2457398.70433,0.0,0.5351,2.7504,5660.0,1.24,1.04,19.449375,6.868847222222223,20.2673,-12.7021,635.722,1.54414,14.44,11.949,15.9897,11.894,11.956,11.98,9.114,13.5039,13.514,1
K2-113 b,1.0,5.8176015,5.066758,2457893.20124,0.0,31.47726,3.35824,5627.0,1.047,1.007,19.449375,6.868847222222223,20.2673,-12.7021,635.722,1.54414,14.44,11.949,15.9897,11.894,11.956,11.98,9.114,13.5039,13.514,1
K2-113 b,1.0,5.817681,12.5,2457398.70435,0.0,0.5351,2.8896,5401.4,1.33,1.0688,19.449375,6.868847222222223,20.2673,-12.7021,635.722,1.54414,14.44,11.949,15.9897,11.894,11.956,11.98,9.114,13.5039,13.514,1
K2-114 b,1.0,11.391432,11.1,2457151.71321,0.0,0.93414,3.8304,5083.4,0.9,0.874,127.88291666666667,11.922255555555555,-13.1493,-2.45181,475.758,2.07344,15.626,12.304,17.3699,12.23,12.326,11.844,8.728,14.2751,14.286,1
K2-114 b,1.0,11.39109,10.558878,2457174.49729,0.0,0.39794,3.9048,5027.0,0.828,0.832,127.88291666666667,11.922255555555555,-13.1493,-2.45181,475.758,2.07344,15.626,12.304,17.3699,12.23,12.326,11.844,8.728,14.2751,14.286,1
K2-114 b,1.0,11.391013,10.67,2457151.71493,0.0,0.3979399999999999,2.876256,5044.0,0.84,0.89,127.88291666666667,11.922255555555555,-13.1493,-2.45181,475.758,2.07344,15.626,12.304,17.3699,12.23,12.326,11.844,8.728,14.2751,14.286,1
K2-114 b,1.0,11.3909344,10.88,2457151.7149031,0.0,0.3979399999999999,2.876256,5039.0,0.87,0.89,127.88291666666667,11.922255555555555,-13.1493,-2.45181,475.758,2.07344,15.626,12.304,17.3699,12.23,12.326,11.844,8.728,14.2751,14.286,1
K2-115 b,1.0,20.272602,11.5,2457157.15806,0.0,0.99804,3.7008,5728.2,0.86,0.9826,126.5535,12.28185,15.5645,-21.666,413.591,2.38911,14.008,11.724,15.4248,11.658,11.7,11.723,8.567,13.2,13.192,1
K2-115 b,1.0,20.272615,12.06,2457157.15804,0.0,0.39326,6.738239999999999,5657.0,0.88,0.95,126.5535,12.28185,15.5645,-21.666,413.591,2.38911,14.008,11.724,15.4248,11.658,11.7,11.723,8.567,13.2,13.192,1
